function_id,language,test_source,model,system_fingerprint,test_path,gen_status,prompt_chars,in_tokens,out_tokens,cost_usd,timestamp
PY-001,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_6cc92eaef9,generated_tests\gpt4o_v3\python\test_py_001.py,ok,3359,741,500,0.000411,2026-07-20T23:25:33.137202
PY-002,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_a23f63aa66,generated_tests\gpt4o_v3\python\test_py_002.py,ok,3692,805,324,0.000315,2026-07-20T23:25:39.446489
PY-003,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_13015c0152,generated_tests\gpt4o_v3\python\test_py_003.py,ok,3418,752,305,0.000296,2026-07-20T23:25:45.840698
PY-004,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_9899ea5f96,generated_tests\gpt4o_v3\python\test_py_004.py,ok,2194,485,313,0.000261,2026-07-20T23:25:50.636834
PY-005,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_330ce8a4ae,generated_tests\gpt4o_v3\python\test_py_005.py,ok,2040,441,241,0.000211,2026-07-20T23:25:54.498477
PY-006,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_5532169983,generated_tests\gpt4o_v3\python\test_py_006.py,ok,3495,788,405,0.000361,2026-07-20T23:26:01.789787
PY-007,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_4e2e0e5f15,generated_tests\gpt4o_v3\python\test_py_007.py,ok,3216,720,354,0.000320,2026-07-20T23:26:07.176602
PY-008,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_3b001bf879,generated_tests\gpt4o_v3\python\test_py_008.py,ok,2756,619,402,0.000334,2026-07-20T23:26:12.396578
PY-009,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_912c2cd0e0,generated_tests\gpt4o_v3\python\test_py_009.py,ok,2986,656,1134,0.000779,2026-07-20T23:26:33.096803
PY-010,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_e9323266c1,generated_tests\gpt4o_v3\python\test_py_010.py,ok,2865,613,378,0.000319,2026-07-20T23:26:38.796620
PY-011,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_349838c1f9,generated_tests\gpt4o_v3\python\test_py_011.py,ok,4502,1010,350,0.000362,2026-07-20T23:26:45.103897
PY-012,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_24eb35b653,generated_tests\gpt4o_v3\python\test_py_012.py,ok,3566,780,336,0.000319,2026-07-20T23:26:56.916357
PY-013,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_1aec1bbdb8,generated_tests\gpt4o_v3\python\test_py_013.py,ok,2035,447,431,0.000326,2026-07-20T23:27:03.150887
PY-014,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_f48f1594a2,generated_tests\gpt4o_v3\python\test_py_014.py,ok,3034,635,484,0.000386,2026-07-20T23:27:11.003000
PY-015,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_db286bd4bf,generated_tests\gpt4o_v3\python\test_py_015.py,ok,3084,673,491,0.000396,2026-07-20T23:27:17.556958
PY-016,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_77069cb563,generated_tests\gpt4o_v3\python\test_py_016.py,ok,1703,373,280,0.000224,2026-07-20T23:27:22.068013
PY-017,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_60952bc00e,generated_tests\gpt4o_v3\python\test_py_017.py,ok,3628,827,415,0.000373,2026-07-20T23:27:29.186249
PY-018,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_07be26b212,generated_tests\gpt4o_v3\python\test_py_018.py,ok,3850,864,718,0.000560,2026-07-20T23:27:38.730115
PY-019,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_6cc92eaef9,generated_tests\gpt4o_v3\python\test_py_019.py,ok,3496,808,406,0.000365,2026-07-20T23:27:44.436721
PY-020,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_db286bd4bf,generated_tests\gpt4o_v3\python\test_py_020.py,ok,3747,828,352,0.000335,2026-07-20T23:27:50.259046
PY-021,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_9899ea5f96,generated_tests\gpt4o_v3\python\test_py_021.py,ok,4555,1001,427,0.000406,2026-07-20T23:27:56.366809
PY-022,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_50fe65a81f,generated_tests\gpt4o_v3\python\test_py_022.py,ok,3560,801,462,0.000397,2026-07-20T23:28:04.316780
PY-023,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_73ac716e3e,generated_tests\gpt4o_v3\python\test_py_023.py,ok,4140,906,573,0.000480,2026-07-20T23:28:12.904678
PY-024,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_912c2cd0e0,generated_tests\gpt4o_v3\python\test_py_024.py,ok,4021,900,344,0.000341,2026-07-20T23:28:18.424481
PY-025,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_73ac716e3e,generated_tests\gpt4o_v3\python\test_py_025.py,ok,2496,543,243,0.000227,2026-07-20T23:28:22.854329
PY-026,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_b29d6a4e3f,generated_tests\gpt4o_v3\python\test_py_026.py,ok,3343,749,456,0.000386,2026-07-20T23:28:29.870151
PY-027,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_b29d6a4e3f,generated_tests\gpt4o_v3\python\test_py_027.py,ok,3639,785,302,0.000299,2026-07-20T23:28:34.906853
PY-028,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_30570f0196,generated_tests\gpt4o_v3\python\test_py_028.py,ok,2547,547,348,0.000291,2026-07-20T23:28:40.845004
PY-029,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_db84271684,generated_tests\gpt4o_v3\python\test_py_029.py,ok,2644,594,848,0.000598,2026-07-20T23:28:51.036623
PY-030,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_30570f0196,generated_tests\gpt4o_v3\python\test_py_030.py,ok,3552,822,433,0.000383,2026-07-20T23:28:56.883198
PY-031,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_77069cb563,generated_tests\gpt4o_v3\python\test_py_031.py,ok,3517,775,400,0.000356,2026-07-20T23:29:02.896883
PY-032,python,gpt4o_v3,gpt-4o-mini-2024-07-18,fp_60952bc00e,generated_tests\gpt4o_v3\python\test_py_032.py,ok,4146,920,686,0.000550,2026-07-20T23:29:13.480421
